movie_id,tweets
68646,"RT @AlexisLe1609: My own universe: Mafia #Sett and Mafia #Aphelios inspired by The Godfather (1972).

#LeagueOfLegends #ArtofLegends https:…"
68646,"RT @peterkidder: The Godfather(1972)playing in Theater. https://t.co/UUSojgMVSs"
68646,"RT @frekansserbest: Al Pacino, “The Godfather” setinde. (1972) https://t.co/HJVcjF0rYE"
75314,"RT @bo_chini: Taxi Driver (1976)
Director: Martin Scorsese
R   |  114 min   |  Crime, Drama

A mentally unstable veteran works as a nightti…"
75314,"Taxi Driver (1976)
Dir. Martin Scorsese https://t.co/dTTz0zqUza"
75314,"In Hollywood
1. TAXI DRIVER (1976)
2. The Equalizer
3. 8 mile https://t.co/Z5f6YiWqH2"
75314,"RT @Mov11eMag: Taxi Driver (1976) https://t.co/3M6dk3rxYA"
75314,"Weekend weather with Robert De Niro: https://t.co/CjMuej2NAt
For his iconic performance as Travis Bickle in the 197… https://t.co/CRoh8bDOFp"
75314,"The pessimist sees difficulty in every opportunity. The optimist sees the opportunity in every difficulty.

- Col… https://t.co/pUNLXTHs1f"
76759,"RT @MovieKessler: Anyone Lived in a Pretty How Town (1967)  dir. George Lucas
6.18.67 (1967)  dir. George Lucas
THX 1138 (1971)  dir. Georg…"
76759,"Star Wars (1977) https://t.co/yxRnZZidBy"
76759,"@john_gradoville In addition, the twin Extinction-Level-Events called Star Wars and Sword of Shannara hit in 19… https://t.co/lHRrhA1zMx"
76759,"RT @richard_littler: Star Wars vinyl 1977/1978. For many years, until the advent of home video (which I didn't get until the mid 80s), this…"
76759,"RT @TheAgeOfBatman: Disney need to release the rough cut of Star Wars 1977"
76759,"RT @Gallifrey_GaryK: Advance movie poster artwork for the original US release of ‘Star Wars’ (1977).
#movies #scifi #film #movieposter #Sta…"
76759,"Today we're making our annual visit to a galaxy, far, far away for George Lucas' blockbuster 1977 space-adventure c… https://t.co/23hPXr2ngB"
76759,"@prongsrom Star Wars came out in 1977 and it’s still going"
76759,"RT @Drumdums: May the 4th be with you! In this special edition (get it) of 10 Questions, we're going to a galaxy far far away to TEST YOU…"
76759,"RT @NASA: In 1977, Star Wars introduced the two-sun, “circumbinary” planet Tatooine — but astronomers didn’t know such solar systems existe…"
80684,"RT @perfectswshots: STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK (1980)

VFX: ILM
Director of Photography: Peter Suschitzky
Director: Irv…"
80684,"RT @behind_pics: Star Wars Episode V: The Empire Strikes Back (1980) https://t.co/2vjH98FQ2O"
80684,"RT @behind_pics: Star Wars Episode V: The Empire Strikes Back (1980) https://t.co/DkkZoEm1jl"
80684,"Really enjoyed re-watching the outstanding Star Wars - Episode V: The Empire Strikes Back (1980) with some buds.… https://t.co/5yILyNe1tz"
80684,"🎬Star Wars: Episode V - The Empire Strikes Back (1980)🎬 https://t.co/1A0WchfNAC"
86250,"RT @CINEMAGEMS: Scarface (1983) https://t.co/H7WwO5FqAl"
86250,"Scarface Official Trailer #1 - Robert Loggia Movie (1983) HD
Scarface (2021)
Watch: https://t.co/ZcsF5aTHbk… https://t.co/t6xfE6HDK5"
86250,"Scarface(1983) https://t.co/Nia54X6lYl"
86250,"@ClimateWarrior7 She actually said it 🤪🤪

Btw, de Villiers. If you spout that tosh in my presence you ain't the onl… https://t.co/cTkUvr8rTa"
86250,"@Scarface___1983 Both"
86250,"@georgegalloway Enlighten me about Scottish politics as I'm a bit of a novice.

Who *should* have stood down but hu… https://t.co/VbYRtUnj3P"
86250,"@IslingtonChap @Andrew_Adonis He's always been *my* PM ... it's time to make it official.

Let's make the proudest… https://t.co/MOMku4XhbQ"
86250,"@georgegalloway I dunno the significance of that result but I do know Sturgeon has made a preemptive strike so it c… https://t.co/UhLdPHDRyE"
86250,"@georgegalloway Have you ever watched @BBCNews in the wee small hours when they hastily cut short transatlantic int… https://t.co/D4i5bURwex"
86250,"@WMcHBg Not really.

I reckon about 75% aren't even eligible to vote 😏

That's a conservative estimate, btw (pun intended, obvs)"
86250,"Every language except Vulcan 👇

#COVID19 #CoronaBollocks https://t.co/ygi5liwLtU"
86250,"@ItsJamesPKelly No, not in the slightest James. I rather watch a good film, rather than a terrible movie. Some of t… https://t.co/CHPqtI4dow"
86250,"@BukiKatalin @MxMstrH @llamalavender @WhoWouldWinShow @AlmightyRay @Beorntheviking @JamesGavsie @delvin_cox… https://t.co/85JyMfrvtG"
102926,"RT @flixiai: In the history of cinema, only three films have won #BestActor, #BestActress, #BestDirector, #BestScreenplay, and #BestFilm. 🏆…"
102926,"Hannibal Lecter- Silence of the Lambs (1991) https://t.co/uAGRhKi9B6"
102926,"I rated The Silence of the Lambs (1991) 9/10  #IMDb  https://t.co/87voIbivm1"
102926,"Thirty years ago, a horror movie did the unthinkable and swept all the top honors at the Oscars. THE SILENCE OF THE… https://t.co/L0cxo1P46r"
102926,"Self-complacency is fatal to progress.

- Julia Roberts,
The Silence of the Lambs (1991)"
102926,"RT @Quifergo: @Tvecinofavorito The silence of the lambs (Jonathan Demme, 1991) https://t.co/bX3AwjYg8I"
102926,"@MistrelofHorror To hell with silence of the lambs this sounds like the best movie of 1991"
102926,"RT @B7RDER: silence of the lambs (1991) https://t.co/Ze92P7M9GW"
102926,"RT @tompetty: ‘American Girl’ in The Silence of the Lambs, 1991 https://t.co/9o5qhwSPUx"
102926,"RT @thejonbutter: Silence of the Lambs (1991) dir. Jonathan Demme https://t.co/PQp0j5XfdN"
102926,"RT @bestofjfoster: Jodie Foster as Clarice Starling in The Silence of the Lambs (1991) https://t.co/l0J9qotpCI"
102926,"Silence of the Lambs (1991) dir. Jonathan Demme https://t.co/PQp0j5XfdN"
102926,"Fotasooooooo 🤩🤩🤩 “The Silence of the Lambs” (1991) @AnthonyHopkins 🔝 https://t.co/FqPNKLlukh"
108598,"@letterboxd The Last Blockbuster (2020), The Wrong Trousers (1993), A Close Shave (1995)"
110076,"RT @Abhinav_MadzFan: The range in roles that #MadhuriDixit ma'am and #ShahrukhKhan sir had portrayed in just one year i.e 1994 was more tha…"
110475,"Jim Carrey - The Mask, 1994  💃🏻🕺🏻 https://t.co/ARJJYgswzZ"
110475,"RT @MIUCClAMUSE: cameron diaz in the mask (1994) https://t.co/dAEGtpIsTg"
110475,"May 7, 2021: Scream

On this day in 1994, Munch’s painting “The Scream” was recovered after being stolen three mont… https://t.co/dyyHbGbuSS"
110475,"RT @CrashTheMask: Things are about to get... SMOKIN'!

The 1994 cult classic The Mask reinterpreted with characters from the Crash Bandicoo…"
110475,"Watching Jim Carreys hit 1994 film The Mask for the first time in like 50 years https://t.co/K0XYkRLGuG"
110475,"RT @themboydeerdog: i find it kinda funny, 
i find it kinda sad. 
jim carrey 1994 blockbuster film the mask"
110475,"FYI: The Mask (1994) is streaming free on YouTube rn"
110475,"My ★★★ review of The Mask on @letterboxd: https://t.co/V6psaMWTAD"
110475,"RT @Lunachique: @StevenRayMorris We saw the midnight premiere in 1994.  We went with my friend and her brothers.  They made their own costu…"
110475,"@StevenRayMorris We saw the midnight premiere in 1994.  We went with my friend and her brothers.  They made their o… https://t.co/XeYQBlH4RW"
110475,"@TheCinemaTicket The Mask 1994"
110475,"RT @tarak9999: Wear a mask and get yourself vaccinated,when available! 
Let’s #StandTogether to stop the spread and save the country from #…"
110475,"RT @AlwaysRamCharan: Wear a mask and get vaccinated when available! 
Let’s #StandTogether to stop the spread and save our country from #COV…"
113277,"RT @resurrectPSH: Brokeback Heat (1995) https://t.co/RDodNDZZns"
113277,"Brokeback Heat (1995) https://t.co/RDodNDZZns"
113277,"RT @bostonpetpads: Allston Apartment for rent 2 Bedrooms 1 Bath Boston - $1,995: *Landlord Pays 100% Broker Fee* *Heat &amp; hot water are incl…"
113277,"Allston Apartment for rent 2 Bedrooms 1 Bath Boston - $1,995: *Landlord Pays 100% Broker Fee* *Heat &amp; hot water are… https://t.co/Vhv1UnCO83"
113277,"ONE PERFECT SHOT ♾ @OnePerfectShot 

Heat (1995)

Written and Directed by Michael Mann
Director of Photography Dant… https://t.co/qet7l78sVS"
113277,"@Priceless_Silva American Gangster
Remember the Titans
Heat (1995)
Ford vs. Ferrari"
113277,"RT @bostonpetpads: Allston Apartment for rent 2 Bedrooms 1 Bath Boston - $1,995: 2 Bed 1 Bath Laundry in Basement Heat and Hot Water Includ…"
113277,"Allston Apartment for rent 2 Bedrooms 1 Bath Boston - $1,995: 2 Bed 1 Bath Laundry in Basement Heat and Hot Water I… https://t.co/9YQN6qGHAW"
113277,"Cinemas open on May 17th - what films have you booked so far? 

ME —&gt; Judas (2021), Blow Out (1981), Touch of Evil… https://t.co/vqET5TQXxY"
114369,"RT @revistadevaneio: Se7en (1995, David Fincher). https://t.co/NQ9Lut84gT"
114369,"Mr. &amp; Mrs. Smith (2005)
Cry Baby (1990)
Lucy (2014)
Se7en (1995)"
114369,"fav movie ? — this changes over time but right now, it's given and doukyuusei, and Hintayan ng Langit (2018). one t… https://t.co/CKMAoAnamg"
114369,"Se7en (2/5) Movie CLIP - Apathy (1995) HD https://t.co/aJE13PZ9iY via @YouTube"
114369,"@PhillyD Se7en, starring Morgan Freeman and Brad Pitt. Came out in 1995. The whole film was unsettling and the end… https://t.co/Mp6oOVoGp1"
114369,"I’m pretty sure 1995 was the best year for movies. 

Heat
Se7en
Braveheart 
Casino
Apollo 13
12 Monkeys 
Usual Susp… https://t.co/I17Pa72vhJ"
114369,"RT @Karthi_Genelia: 17. Goodfellas (1990)8.7/10
Biography,Crime,Drama

18. One Flew Over the Cuckoo's Nest (1975)8.7/10
Drama

19. Seven Sa…"
114369,"17. Goodfellas (1990)8.7/10
Biography,Crime,Drama

18. One Flew Over the Cuckoo's Nest (1975)8.7/10
Drama

19. Seve… https://t.co/xrCS23dQj8"
114369,"how i want the hbo max gotham pd show to be inspired by the film se7en ( 1995 ) directed david fincher https://t.co/8Nm9oaEDf3"
114369,"Spider-Man: Into the Spider-Verse (2018)
Se7en (1995)
Chinatown (1974)
Brokeback Mountain (2005) https://t.co/rmvUfv1tcU"
114369,"The Spruce Grouse's favorite movie is Se7en (1995)."
114369,"RT @ghoulbasement: Despite heavily Se7en (1995), the opening credits sequence of The Collector (2009) is pretty cool. https://t.co/tPiItoue…"
114369,"@Wazardddd Taxi driver 1975 
Se7en 1995
Both great.. I'm out"
114369,"Despite heavily Se7en (1995), the opening credits sequence of The Collector (2009) is pretty cool. https://t.co/tPiItoueU6"
